2017-06-15 19:06:43,194 [12] ERROR SuperSocketGPS - Session: 9350f035-8b88-4480-b45f-e3ae66b67d7d/192.168.1.104:40149
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:48,988 [12] ERROR SuperSocketGPS - Session: dc28334b-e504-40f7-8287-33202ebf8f00/192.168.1.104:48555
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:55,576 [15] ERROR SuperSocketGPS - Session: 3e9d915c-2ef7-4158-a0f0-697dca17410c/192.168.1.104:48560
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:56,103 [15] ERROR SuperSocketGPS - Session: f1252122-c4dc-4bff-aa00-00558a3cd95a/192.168.1.104:48561
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:56,572 [15] ERROR SuperSocketGPS - Session: 3b97da67-c1c9-47a3-9bea-9b1a407d840a/192.168.1.104:48562
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:56,941 [15] ERROR SuperSocketGPS - Session: de58adf8-4714-46e5-82ac-e3ce44b38bd2/192.168.1.104:48563
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:57,291 [15] ERROR SuperSocketGPS - Session: c918e340-ca4e-49f5-96e4-025db532220f/192.168.1.104:48564
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:57,801 [15] ERROR SuperSocketGPS - Session: 4c1dc46a-bc0f-4fd6-8f6a-db0f731ab894/192.168.1.104:48565
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:58,063 [15] ERROR SuperSocketGPS - Session: a079631a-cd08-4437-a73e-66eee252eda5/192.168.1.104:48566
Max request length: 1024, current processed length: 4096
2017-06-15 19:06:58,246 [15] ERROR SuperSocketGPS - Session: c470a338-f8bf-46fb-856f-15bd264438dc/192.168.1.104:48567
Max request length: 1024, current processed length: 4096
2017-06-15 19:07:06,494 [12] ERROR SuperSocketGPS - Session: a32c471d-5a65-4c24-b60c-c6d0d4345be1/192.168.1.104:48575
Max request length: 1024, current processed length: 4096
2017-06-15 19:07:22,446 [12] ERROR SuperSocketGPS - Session: 0fff187c-38fb-479e-8af9-0661e9fd7674/192.168.1.104:48586
Max request length: 1024, current processed length: 4096
2017-06-15 19:07:33,101 [10] ERROR SuperSocketGPS - Session: 713f1f10-3a6d-43dc-9893-b40bb9e85a7d/192.168.1.104:48593
Max request length: 1024, current processed length: 4096
2017-06-15 19:07:34,293 [12] ERROR SuperSocketGPS - Session: 982c11e7-343e-499b-a7fb-4dea93cc0df4/192.168.1.104:48595
Max request length: 1024, current processed length: 4096
